Soft Skills,Porgramming Languages,Data Visualization
SS,PL,DV
Accounting,IDL,TapClicks
Analytical,Maple,Infogram
Business Judgement,Haskell,MoData
Collaborate,Fortran,Zoho Reports
Collaboration,MATLAB,Alteryx Designer
Computer,Inform,Informer
Consistency,Dart,Phocas Software
Dashboards,Hack,Control
Data integrity,Korn shell,Carriots Analytics
Data Visualization,Erlang,Slemma
Decision Maker,Mathematica,DataPlay
Design thinking,Lua,Juicebox
Detail,Ioke,DataDeck
Entrepeneurial,Ladder Logic,QlikSense
Finance,ABC,Dundas BI
Forecasting,D ,Heap
Gaming,Alice,DBxtra
HR,Lisp,Tableau
Information Systems,AutoLISP,AnswerRocket
International experience,Bash,Grow
Inventory Management,COBOL,ClicData
Leadership,Apex,Plecto
Listening,Ada,iDashboards
Mandarin,Logo,Adaptive Insights
Multitask,Elixir,Looker
Organizational skills,Julia,DV
Problem Solving,Mercury,InsightSquared
Procurement,Go,Domo
Project Management,C++,Periscope
Recruiting, J ,Style Scope
Reporting,Icon,BrandMap
Research,Java,Roambi Analytics
Self-starter,Bourne shell,MATLAB
Spanish,Groovy,Splunk
SS,EXEC,Elasticsearch
Strategy,Hadoop,Improvado
Supply Chain,Awk,Sisense
Systems,ActionScript,Geckoboard
Team Player,ABAP,Chartio
Technology,APL,
Work indpendently,Emacs Lisp,
Writing,LabVIEW,
Presentation,CG,
Math,Clojure,
Economics,Common Lisp,
Communication,cT,
,Factor,
,Forth,
,Io,
,ML,
,MQL4,
,NATURAL,
,NXT-G,
,OCaml,
,OpenCL,
,OpenEdge ABL,
,Oz,
,Pascal,
,Perl,
,PHP,
,PL,
,PowerShell,
,Prolog,
,Python,
,Q ,
,R ,
,REXX,
,Ruby,
,Rust,
,SAS,
,Scala,
,Scheme,
,Scratch,
,Simulink,
,Smalltalk,
,SPARK,
,SPSS,
,SQL,
,Stata,
,Swift,
,Tcl,
,VBScript,
,Verilog,
,VHDL,
,Visual Basic,
